?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/WBls_0000711>	"A developmental stage of a Digenean (fluke)."	
<http://purl.obolibrary.org/obo/WBls_0000507>	"The time period encompassing the 396th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000181>	"The time period encompassing the 70th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000424>	"The time period encompassing the 313rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000026>	"The stage when an animal shifts from L1 larva to L2 larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000107>	"The second stage larva of nematodes."	
<http://purl.obolibrary.org/obo/WBls_0000416>	"The time period encompassing the 305th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000420>	"The time period encompassing the 309th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000068>	"At 20 Centigrade: 5-6 days after L4-adult molt. 8-9 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000365>	"The time period encompassing the 254th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000070>	"At 20 Centigrade: 7-10 days after L4-adult molt. 10-13 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000216>	"The time period encompassing the 105th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000241>	"The time period encompassing the 130th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000033>	"The stage during postdauer-L4 molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old."	
<http://purl.obolibrary.org/obo/WBls_0000203>	"The time period encompassing the 92nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000816>	"A C. elegans life stage that occurs during the adult life stage"	
<http://purl.obolibrary.org/obo/WBls_0000543>	"The time period encompassing the 432nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000237>	"The time period encompassing the 126th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000196>	"The time period encompassing the 85th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000411>	"The time period encompassing the 300th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000306>	"The time period encompassing the 195th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000268>	"The time period encompassing the 157th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000037>	"The stage when an animal shifts from L3 larva to L4 larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000562>	"The time period encompassing the 451st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000533>	"The time period encompassing the 422nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000724>	"A tailless cercarium of Schistosoma sp, 3 hours post-infection by skin penetration of the definitive host."	"OPL:0000017"
<http://purl.obolibrary.org/obo/WBls_0000607>	"The time period encompassing the 496th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000518>	"The time period encompassing the 407th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000397>	"The time period encompassing the 286th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000053>	"The stage when an animal shifts from L2d larva to L3 larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000385>	"The time period encompassing the 274th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000716>	"The larval stages of a tapeworm, beginning with the metamorphosis of the oncosphere and ending with the first evidence of sexuality in the adult worm. Includes the procercoid and plerocercoid stages of pseudophyllid cestodes, and the cysticercus, cysticercoid, coenurus, and hydatid stages of cyclophyllidean cestodes."	
<http://purl.obolibrary.org/obo/WBls_0000116>	"The time period encompassing the 5th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000501>	"The time period encompassing the 390th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000331>	"The time period encompassing the 220th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000595>	"The time period encompassing the 484th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000520>	"The time period encompassing the 409th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000417>	"The time period encompassing the 306th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000192>	"The time period encompassing the 81st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000434>	"The time period encompassing the 323rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000122>	"The time period encompassing the 11st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000590>	"The time period encompassing the 479th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000148>	"The time period encompassing the 37th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000017>	"The C. elegans life stage spanning 390-420min after first cleavage at 20 Centigrade. Cell number remains at ~560 cells, with some new cells generated and some cells go through programmed cell death. The shape of embryo looks like a comma. A stage between bean embryo and 1.5-fold embryo."	
<http://purl.obolibrary.org/obo/WBls_0000718>	"A Digenean (fluke) life stage that occurs in the definitive host. The stage begins when the metacercariae excyst in the intestine of the host, and continues as the NEJs migrate through the liver parenchyma where they increase in size to juvenile flukes and then to mature adults."	
<http://purl.obolibrary.org/obo/WBls_0000247>	"The time period encompassing the 136th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000643>	"The time period encompassing the 532nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000007>	"The C. elegans life stage spanning 0-20min after first cleavage at 20 Centigrade.  Contains 2 cells."	
<http://purl.obolibrary.org/obo/WBls_0000101>	"Any developmental stage in a nematode, including embryo, larva and adult stage."	
<http://purl.obolibrary.org/obo/WBls_0000094>	"Proliferates from 1 to 100 cells. As the Brugia female reproductive tract is long (>10 cm), it is possible to dissect it and select early embryos just by isolating early parts of the post-spermatheca uterus."	
<http://purl.obolibrary.org/obo/WBls_0000186>	"The time period encompassing the 75th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000740>	"Adult female that has developed from L4 larvae in the mammalian host."	
<http://purl.obolibrary.org/obo/WBls_0000024>	"The first stage larva. At 25 Centigrade, it ranges 14-25.5 hours after fertilization, 0-11.5 hours after hatch."	
<http://purl.obolibrary.org/obo/WBls_0000686>	"The fourth sub-stage of the L4 larva. vulFs have separated and the apex of the lumen is flat and capped by the anchor cell. The uterine lumen starts to form. At 20 Centigrade: 38.1 hours after hatching, 4.1 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000794>	"Strongyloides  L1 larval stage that is the progeny of a parasitic adult female as a part of a of parasitic life-cycle."	
<http://purl.obolibrary.org/obo/WBls_0000377>	"The time period encompassing the 266th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000245>	"The time period encompassing the 134th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000806>	"A C. elegans life stage that occurs during the 1.5-fold embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000348>	"The time period encompassing the 237th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000618>	"The time period encompassing the 507th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000096>	"From Lima bean to hatching."	
<http://purl.obolibrary.org/obo/WBls_0000034>	"The stage when an animal shifts from post dauer stage to L4 larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000062>	"Adult hermaphrodites that contain no more sperm, thus stop egg-laying, but still alive. At 20 Centigrade: 5.4 days after L4-adult molt until the death. 8.4 - 13.2 (average wild type life span) days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000672>	"At 20 Centigrade: 8-9 days after L4-adult molt. 11-12 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000407>	"The time period encompassing the 296th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000489>	"The time period encompassing the 378th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000316>	"The time period encompassing the 205th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000441>	"The time period encompassing the 330th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000190>	"The time period encompassing the 79th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000479>	"The time period encompassing the 368th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000043>	"The stage when an animal shifts from L1 larva to L2d larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000669>	"A developmental life stage of the nematode Caenorhabditis elegans that occurs in an egg (oocyte), before fertilization by sperm."	
<http://purl.obolibrary.org/obo/WBls_0000081>	"The third stage larva."	
<http://purl.obolibrary.org/obo/WBls_0000534>	"The time period encompassing the 423rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000142>	"The time period encompassing the 31st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000583>	"The time period encompassing the 472nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000626>	"The time period encompassing the 515th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000818>	"A C. elegans life stage that occurs during the L1 larval life stage"	
<http://purl.obolibrary.org/obo/WBls_0000265>	"The time period encompassing the 154th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000584>	"The time period encompassing the 473rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000511>	"The time period encompassing the 400th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000666>	"A microfilaria life stage in which larvae are not sheathed by a membrane thought to be derived from the vitelline membrane."	
<http://purl.obolibrary.org/obo/WBls_0000176>	"The time period encompassing the 65th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000338>	"The time period encompassing the 227th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000694>	"The time period encompassing the 570th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000549>	"The time period encompassing the 438th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/BFO_0000004>	"b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])"@en	
<http://purl.obolibrary.org/obo/WBls_0000168>	"The time period encompassing the 57th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000525>	"The time period encompassing the 414th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000628>	"The time period encompassing the 517th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000288>	"The time period encompassing the 177th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000131>	"The time period encompassing the 20th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000038>	"The fourth stage larva. At 25 Centigrade, it ranges 40-49.5 hours after fertilization, 26-35.5 hours after hatch."	
<http://purl.obolibrary.org/obo/WBls_0000570>	"The time period encompassing the 459th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000532>	"The time period encompassing the 421st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000517>	"The time period encompassing the 406th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000049>	"The stage during L3-L4 molt, after the brief lethargus period, when an animal sheds off old cuticle."	
<http://purl.obolibrary.org/obo/WBls_0000700>	"The time period encompassing the 780th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000726>	"Onchocerca post-embryonic life stage."	
<http://purl.obolibrary.org/obo/WBls_0000212>	"The time period encompassing the 101st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000166>	"The time period encompassing the 55th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000113>	"The time period encompassing the 2nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000307>	"The time period encompassing the 196th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000408>	"The time period encompassing the 297th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000281>	"The time period encompassing the 170th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000635>	"The time period encompassing the 524th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000485>	"The time period encompassing the 374th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000127>	"The time period encompassing the 16th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000456>	"The time period encompassing the 345th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000630>	"The time period encompassing the 519th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000800>	"At 20 Centigrade: 14-15 days after L4-adult molt. 17-18 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000597>	"The time period encompassing the 486th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000103>	"A developemental life stage in a nematode that occurs from egg hatching until death."	
<http://purl.obolibrary.org/obo/WBls_0000522>	"The time period encompassing the 411st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000691>	"The ninth sub-stage of the L4 larva. The vulval lumen is partially collapsed. At 20 Centigrade: 42.5 hours after hatching, 8.5 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000715>	"An infective larval stage of cestodes which develops from the hydatid cyst. The stage begins when a clustering of cells emerge from the germinal layer of hydatid cysts. The buds elongate and the cells at their bases seem to diminish in number. Very early on a furrow appears in the elongated buds, delimiting anterior (scolex) and caudal (body) regions. Hooks are the first fully-differentiated structures formed at the apical region of the nascent scolex. A cone can later be seen at the center of the hooks, the body is expanded and a structured neck is evident between the scolex and the body. During protoscolex development this parasitic form remains attached to the germinative layer through a stalk. When fully differentiated, the stalk is cut off and the infective protoscolex is now free in the hydatid fluid. This stage ends when the protoscolex attaches, via the scolex, to the host intestinal tissue and begins to develop into a adult."	
<http://purl.obolibrary.org/obo/WBls_0000324>	"The time period encompassing the 213rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000510>	"The time period encompassing the 399th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000347>	"The time period encompassing the 236th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000162>	"The time period encompassing the 51st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000826>	"OSBSOLETE: A set of life stages of the nematode Caenorhabditis elegans"	
<http://purl.obolibrary.org/obo/WBls_0000315>	"The time period encompassing the 204th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000188>	"The time period encompassing the 77th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000339>	"The time period encompassing the 228th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000305>	"The time period encompassing the 194th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000713>	"A six-hooked larva, called the hexcanth, enclosed by one or two embryonic envelopes. This stage invades the first (or sole) intermediate host where it develops into a bladder larva, such as a hydatid cyst."	
<http://purl.obolibrary.org/obo/WBls_0000156>	"The time period encompassing the 45th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000401>	"The time period encompassing the 290th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000475>	"The time period encompassing the 364th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000603>	"The time period encompassing the 492nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000410>	"The time period encompassing the 299th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000714>	"A larval stage of cestodes characterized by internal (and often external) chambers lined by germinal epithelium. The inner germinal layer of hydatid cysts is cellular and the protoscolex develops from those cells."	
<http://purl.obolibrary.org/obo/WBls_0000812>	"A C. elegans life stage that occurs during the proliferating embryo life stage"	
<http://purl.obolibrary.org/obo/WBls_0000819>	"A C. elegans life stage that occurs during the L2 larval life stage"	
<http://purl.obolibrary.org/obo/WBls_0000706>	"Free-swimming larval stage. Once the egg is released into environment, the miracidium hatches immediately and starts swimming in search of an intermediate host. In Schistosoma mansoni this is a snail of species Biomphalaria."	
<http://purl.obolibrary.org/obo/WBls_0000625>	"The time period encompassing the 514th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000151>	"The time period encompassing the 40th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000670>	"At 20 Centigrade: 6-7 days after L4-adult molt. 9-10 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000115>	"The time period encompassing the 4th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000589>	"The time period encompassing the 478th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000565>	"The time period encompassing the 454th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000795>	"Strongyloides infective L3 stage that develops from a parasitic adult female as part of a parasitic life-cycle."	
<http://purl.obolibrary.org/obo/WBls_0000109>	"The fourth stage larva of nematodes."	
<http://purl.obolibrary.org/obo/WBls_0000204>	"The time period encompassing the 93rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000699>	"The time period encompassing the 770th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000449>	"The time period encompassing the 338th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000086>	"Fifth cleavage of the AB lineage. Contains 44 cells."	
<http://purl.obolibrary.org/obo/WBls_0000238>	"The time period encompassing the 127th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000729>	"Adult female Strongyloides living entirely outside of a host or vector organism."	
<http://purl.obolibrary.org/obo/WBls_0000497>	"The time period encompassing the 386th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000102>	"The whole period of embryogenesis in a nematode, from the formation of an egg until hatching."	
<http://purl.obolibrary.org/obo/WBls_0000683>	"The first sub-stage of the L4 larva. All vulval cells are migrating toward the center of the future vulva. vulA, vulB, and vulE have divided, but vulC and vulF have not. At 20 Centigrade: 34.3 hours after hatching, 0.3 hours from the L3-to-L4 molt."	
<http://purl.obolibrary.org/obo/WBls_0000622>	"The time period encompassing the 511st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000439>	"The time period encompassing the 328th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000261>	"The time period encompassing the 150th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000120>	"The time period encompassing the 9th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000182>	"The time period encompassing the 71st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000221>	"The time period encompassing the 110th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000710>	"The mature, fully developed life stage of Platyhelminthes, usually capable of sexual reproduction."	
<http://purl.obolibrary.org/obo/WBls_0000146>	"The time period encompassing the 35th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000673>	"At 20 Centigrade: 9-10 days after L4-adult molt. 12-13 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000093>	"A developemental life stage in a roundworm of the genus Brugia that occurs from egg hatching until death."	
<http://purl.obolibrary.org/obo/WBls_0000820>	"A C. elegans life stage that occurs during the L3 larval life stage"	
<http://purl.obolibrary.org/obo/WBls_0000406>	"The time period encompassing the 295th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000448>	"The time period encompassing the 337th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000072>	"The C. elegans life stage spanning ~55 min after first cleavage at 20 Centigrade.  Contains 12 cells."	
<http://purl.obolibrary.org/obo/WBls_0000215>	"The time period encompassing the 104th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000422>	"The time period encompassing the 311st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/BFO_0000002>	"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."@en	
<http://purl.obolibrary.org/obo/WBls_0000604>	"The time period encompassing the 493rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000171>	"The time period encompassing the 60th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000031>	"The stage when an animal shifts from L2d larva to dauer larva. It includes the synthesis of new cuticle, cease of pharyngeal pumping during a lethargus stage, and the shed off of old cuticle."	
<http://purl.obolibrary.org/obo/GO_0003674>	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	
<http://purl.obolibrary.org/obo/WBls_0000829>	"A C. elegans adult life stage that occurs after the animal has recovered from the dauer diapause."	
<http://purl.obolibrary.org/obo/WBls_0000798>	"At 20 Centigrade: 12-13 days after L4-adult molt. 15-16 days after first cleavage."	
<http://purl.obolibrary.org/obo/WBls_0000735>	"L3 larvae isolated from the insect vector and cultured in vitro for 2 days."	
<http://purl.obolibrary.org/obo/WBls_0000356>	"The time period encompassing the 245th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000084>	"E-cell has divided into Ea and Ep. Contains 14 cells."	
<http://purl.obolibrary.org/obo/WBls_0000080>	"The second stage larva. Derived from flight muscles of vector host; some development in vitro, with L1 to L2 moulting, has been demonstrated but rarely; these are often staged by hours or days post blood meal."	
<http://purl.obolibrary.org/obo/WBls_0000574>	"The time period encompassing the 463rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000044>	"The stage during L1-L2d molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old."	
<http://purl.obolibrary.org/obo/WBls_0000616>	"The time period encompassing the 505th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000495>	"The time period encompassing the 384th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000632>	"The time period encompassing the 521st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
<http://purl.obolibrary.org/obo/WBls_0000732>	"L3 larvae that develop from the L2 larvae in the arthropod vector. This stage is infectious to the mammalian host once it has migrated to the insect proboscis."	
<http://purl.obolibrary.org/obo/WBls_0000551>	"The time period encompassing the 440th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree."	
