?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/WBls_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"3-fold embryo Ce"	
<http://purl.obolibrary.org/obo/WBls_0000356>	<http://www.w3.org/2000/01/rdf-schema#label>	"245 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000517>	<http://www.w3.org/2000/01/rdf-schema#label>	"406 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000194>	<http://www.w3.org/2000/01/rdf-schema#label>	"83 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000510>	<http://www.w3.org/2000/01/rdf-schema#label>	"399 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000622>	<http://www.w3.org/2000/01/rdf-schema#label>	"511 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000460>	<http://www.w3.org/2000/01/rdf-schema#label>	"349 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000691>	<http://www.w3.org/2000/01/rdf-schema#label>	"L4.8 larva Ce"	
<http://purl.obolibrary.org/obo/WBls_0000726>	<http://www.w3.org/2000/01/rdf-schema#label>	"Onchocerca post-embryonic life stage"	
<http://purl.obolibrary.org/obo/WBls_0000097>	<http://www.w3.org/2000/01/rdf-schema#label>	"Brugia larval stage"	
<http://purl.obolibrary.org/obo/WBls_0000179>	<http://www.w3.org/2000/01/rdf-schema#label>	"68 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000259>	<http://www.w3.org/2000/01/rdf-schema#label>	"148 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000412>	<http://www.w3.org/2000/01/rdf-schema#label>	"301 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000635>	<http://www.w3.org/2000/01/rdf-schema#label>	"524 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000250>	<http://www.w3.org/2000/01/rdf-schema#label>	"139 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000404>	<http://www.w3.org/2000/01/rdf-schema#label>	"293 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000242>	<http://www.w3.org/2000/01/rdf-schema#label>	"131 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000473>	<http://www.w3.org/2000/01/rdf-schema#label>	"362 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000621>	<http://www.w3.org/2000/01/rdf-schema#label>	"510 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"397 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000739>	<http://www.w3.org/2000/01/rdf-schema#label>	"Onchocerca adult male"	
<http://purl.obolibrary.org/obo/WBls_0000690>	<http://www.w3.org/2000/01/rdf-schema#label>	"L4.7 larva Ce"	
<http://purl.obolibrary.org/obo/WBls_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"51-cell embryo Ce"	
<http://purl.obolibrary.org/obo/WBls_0000315>	<http://www.w3.org/2000/01/rdf-schema#label>	"204 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000489>	<http://www.w3.org/2000/01/rdf-schema#label>	"378 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000538>	<http://www.w3.org/2000/01/rdf-schema#label>	"427 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000354>	<http://www.w3.org/2000/01/rdf-schema#label>	"243 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000593>	<http://www.w3.org/2000/01/rdf-schema#label>	"482 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000651>	<http://www.w3.org/2000/01/rdf-schema#label>	"540 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000123>	<http://www.w3.org/2000/01/rdf-schema#label>	"12 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000340>	<http://www.w3.org/2000/01/rdf-schema#label>	"229 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000307>	<http://www.w3.org/2000/01/rdf-schema#label>	"196 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000420>	<http://www.w3.org/2000/01/rdf-schema#label>	"309 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000524>	<http://www.w3.org/2000/01/rdf-schema#label>	"413 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000139>	<http://www.w3.org/2000/01/rdf-schema#label>	"28 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000367>	<http://www.w3.org/2000/01/rdf-schema#label>	"256 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000664>	<http://www.w3.org/2000/01/rdf-schema#label>	"microfilaria"	
<http://purl.obolibrary.org/obo/WBls_0000271>	<http://www.w3.org/2000/01/rdf-schema#label>	"160 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000136>	<http://www.w3.org/2000/01/rdf-schema#label>	"25 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000537>	<http://www.w3.org/2000/01/rdf-schema#label>	"426 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000353>	<http://www.w3.org/2000/01/rdf-schema#label>	"242 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000433>	<http://www.w3.org/2000/01/rdf-schema#label>	"322 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000798>	<http://www.w3.org/2000/01/rdf-schema#label>	"12-days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000650>	<http://www.w3.org/2000/01/rdf-schema#label>	"539 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000122>	<http://www.w3.org/2000/01/rdf-schema#label>	"11 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000202>	<http://www.w3.org/2000/01/rdf-schema#label>	"91 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000040>	<http://www.w3.org/2000/01/rdf-schema#label>	"L4-adult molt Ce"	
<http://purl.obolibrary.org/obo/WBls_0000707>	<http://www.w3.org/2000/01/rdf-schema#label>	"sporocyst"	
<http://purl.obolibrary.org/obo/WBls_0000306>	<http://www.w3.org/2000/01/rdf-schema#label>	"195 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000152>	<http://www.w3.org/2000/01/rdf-schema#label>	"41 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000383>	<http://www.w3.org/2000/01/rdf-schema#label>	"272 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000418>	<http://www.w3.org/2000/01/rdf-schema#label>	"307 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000649>	<http://www.w3.org/2000/01/rdf-schema#label>	"538 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000487>	<http://www.w3.org/2000/01/rdf-schema#label>	"376 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000567>	<http://www.w3.org/2000/01/rdf-schema#label>	"456 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000039>	<http://www.w3.org/2000/01/rdf-schema#label>	"L4-adult lethargus Ce"	
<http://purl.obolibrary.org/obo/WBls_0000025>	<http://www.w3.org/2000/01/rdf-schema#label>	"L1-L2 lethargus Ce"	
<http://purl.obolibrary.org/obo/WBls_0000256>	<http://www.w3.org/2000/01/rdf-schema#label>	"145 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000322>	<http://www.w3.org/2000/01/rdf-schema#label>	"211 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000361>	<http://www.w3.org/2000/01/rdf-schema#label>	"250 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000553>	<http://www.w3.org/2000/01/rdf-schema#label>	"442 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000627>	<http://www.w3.org/2000/01/rdf-schema#label>	"516 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000130>	<http://www.w3.org/2000/01/rdf-schema#label>	"19 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000797>	<http://www.w3.org/2000/01/rdf-schema#label>	"11-days post-L4 adult hermaphrodite Ce"	
<http://purl.obolibrary.org/obo/WBls_0000165>	<http://www.w3.org/2000/01/rdf-schema#label>	"54 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000269>	<http://www.w3.org/2000/01/rdf-schema#label>	"158 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000151>	<http://www.w3.org/2000/01/rdf-schema#label>	"40 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000382>	<http://www.w3.org/2000/01/rdf-schema#label>	"271 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000374>	<http://www.w3.org/2000/01/rdf-schema#label>	"263 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000566>	<http://www.w3.org/2000/01/rdf-schema#label>	"455 min post first-cleavage Ce"	
<http://purl.obolibrary.org/obo/WBls_0000829>	<http://www.w3.org/2000/01/rdf-schema#label>	"post dauer adult stage Ce"@en	
